id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
375922,The Law of the Tong,0.0,0,Released,1931-12-15,0,61,False,,0,,tt0022061,en,The Law of the Tong,A young girl working as a dance-hall hostess gets mixed up in a scheme that smuggles illegal Chinese aliens into the country.,0.6,/xyJfBbrnHds1PnTkaxVTW5PUBs5.jpg,,Crime,Willis Kent Productions,United States of America,English,"sailor, waterfront, tong"
582322,דודי ורעי,0.0,0,Released,1975-01-01,0,0,False,/zuiJrXaRAEOOvZU01Mt9EAXecZ5.jpg,0,,,he,דודי ורעי,,0.6,,,,,,Hebrew,
915691,Palestine 1948: Nakba,0.0,0,Released,2008-03-22,0,130,False,,0,,tt1204386,ja,パレスチナ1948・NAKBA,"The year 2008 marks the 60th anniversary of the foundation of Israel. It marks also the beginning of 60 years of the suffering for the Palestinian people. This tragedy is referred to as the “Nakba,” meaning catastrophe in Arabic.  Since 1948 at least 420 Palestinian villages have vanished. The photo journalist Ryuichi Hirokawa has filmed over 1,000 hours of footage and has taken thousands of photographs of the Palestinian people and their vanished villages. This film is a distillation of this footage",0.6,/oRK68MXKkeQ5GTZp64hRjjZV3GR.jpg,,Documentary,,Japan,,
66151,Vital Signs,5.4,8,Released,2009-10-05,0,88,False,/c4HrYOFCtJ2gYxEbZ5mg70NlckV.jpg,0,,tt1593295,fr,Les Signes vitaux,"After losing a loved one, Simone decides to volunteer in a hospital and spends her days with terminally ill patients. However, other parts of her life soon begin to suffer as well.",1.957,/uXekPiWlDMCGvRWdP0mu6C9r4Mm.jpg,,Drama,,Canada,French,woman director
1198191,"Single, Married, Widowed, Divorced",0.0,0,Released,2023-10-27,0,0,False,,0,,,pt,"Single, Married, Widowed, Divorced",,2.744,/pRa0ZSu96vNLYxjLNpkG5AAGVwk.jpg,,,,,,
964608,I dreamed that Tom was butchered,0.0,0,Released,2022-04-21,0,15,False,,0,,,es,Soñé que carneaban a Tom,"Martín goes jogging, but an unknown woman trips him up. The unknown woman’s husband doesn’t understand his wife’s behavior. Marín has a date but gets hurt. The woman who tripped him has a dream in which her poodle is butchered. No one understands what goes on in the mind of the other.",1.473,/neSmXhh7ezbJSMLWbVX4xjE6ie2.jpg,,,,Argentina,"Spanish, Japanese",
590614,Nach dem Sturm,0.0,0,Released,2019-04-25,0,120,False,/oRqYixMjeD1RdzMLuKXovQCE068.jpg,0,http://mythenfilm.ch/nachdemsturm/nachdemsturm.html,,de,Nach dem Sturm,"The protests of 1968 had a significant impact on the great cities of the world. But people like to forget that the periphery went through the same social upheavals – Central Switzerland, for example. This is hardly surprising: in the founding cantons of the Old Swiss Confederacy, society followed a strict order; tradition, shaped by centuries of Catholic rule, seemed untouchable. But in the 1960s, the local youth could not take these stifling conditions anymore: starting in 1969, resistance broke out across Central Switzerland.",0.6,/aXo0eEchg3k5WDanKXSKSh1U0ml.jpg,1968 in Central Switzerland – and what followed.,Documentary,Mythenfilm,"Italy, Switzerland",German,"marxism, police, switzerland, pacifism, bourgeoisie, catholic church, social documentary, 1980s, 1960s, zug, political documentary, lucerne, stans, einsiedeln"
723358,The Eliminators,0.0,0,Released,2001-01-01,0,89,False,,0,,,en,Amandianeze,"The Exterminators is about a couple of businessmen wanting to do anything for power and money. It's a story of greed, lust and violence... Nigerian style!",0.6,/pUFhKGkqJBZSOmEPstslu3mLIRn.jpg,,,,Nigeria,English,
1458175,Chopped Snake,0.0,0,Released,1930-08-30,0,16,False,,0,,tt0437914,xx,Chongire hebi,"The last work of Junichi Kouchi, a pioneer of Japanese animation, and it is a must-see for fans",0.0143,,,Animation,,,,
1365560,The Submission of Zoey Monroe,6.0,1,Released,,0,0,True,/f5M9heRG6xH9DhrduN3vcCsTH2W.jpg,0,,,en,The Submission of Zoey Monroe,,0.0,/kQvTTsiWbiD71WHtq5NK4TkqxwW.jpg,,,,,English,
501692,Tears Ox,10.0,1,Released,2018-06-11,0,54,False,,50000,,tt7773766,pt,Boi de Lágrimas,A political film about horror and solitude.,0.6,/hHUbkG5ygLpO6DYdTquPv6kCQ4k.jpg,,,Lume Filmes,Brazil,Portuguese,
814077,"Help Me, Please",7.5,5,Released,2020-08-03,0,14,False,,50,https://www.sergiomunozesquer.com/ayudame-por-favor,tt12899304,es,"Ayúdame, Por Favor","A child stumbles upon what seems to be the perfect house, yet its interior holds unexpected surprises.",0.767,/2g1aOc3xDIN9j29WjHTBZATLv2L.jpg,,"Drama, Thriller",,Mexico,Spanish,coming of age
717259,Flour Babies,0.0,0,Released,,0,0,False,,0,,tt0386467,en,Flour Babies,After school special,0.6,/ohq7pgn6uBZZK0BZnWyZKORvmfL.jpg,,,,,,
730827,Exposed,0.0,0,Released,2011-06-06,0,99,True,,0,,tt3910478,en,Exposed,"You think you're alone. You let your guard down, surrendering to that undeniable urge. But you're wrong -- intense eyes are on you, and they want a lot more than just a glance. You've been Exposed, but don't be shy -- embrace your inner exhibitionist. Need some help? TitanMen exclusive Aymeric DeVille is here to lead the way as a group of hung buds show off and get off as your sensual stare turns them on. Assuming the position in the men's room, tattooed Aymeric DeVille has two admirers: hairy hunk Junior Stellano and muscle jock Shay Michaels. Before it's over, no mouth or hole is left unsatisfied. Beefy repairman Roman Wright gets a sniff of bud Jeremy Tyler's briefs, the two exchanging sucks before Jeremy gets a super-sized stick shift up the ass over the hood of his car. Turned on by the sight of a stroking Enzo Rimenez, tight and toned Amir unleashes his big cock on the eager bottom in a passionate encounter.",0.6,/1ZzQ1QWfUgx3BISZBgUECHYjEye.jpg,,,,,,gay pornography
43737,Splintered,4.845,29,Released,2010-09-03,0,86,False,/zYwV6XesAhzLkmWq1u87TfXniPX.jpg,2300000,http://www.splinteredthemovie.com/,tt1016241,en,Splintered,"Sophie is a troubled young girl, haunted by the abuse she suffered as a child and harbouring a deep fascination with the unexplained. In the hope of satiating her obsession with the latter, she instigates a trip to the Welsh countryside with four friends, aimed at tracking down the legendary Beast of Bodmin. It seems the mythical creature – often thought to be a large wildcat or fox – has caught the public's attention once more thanks to a spate of attacks on livestock and one local farmer. Armed with a video camera and a case of beer, the group head off into the woods but they soon uncover much more than they bargained for, with Sophie falling foul of a mysterious madman who locks her away in an apparent attempt to protect her from some unnamed terror.",2.342,/AsljbDlQZ42dTMX9o0QDtiRIvAx.jpg,Don't be Frightened. You're Safe Here,"Horror, Thriller","BTG McInnes Corporate Finance, Splintered Films, Not a Number",United Kingdom,English,"sibling relationship, twin brother, evil priest"
208378,El beso que me diste,8.0,2,Released,2000-01-01,0,91,False,,0,,tt0247953,es,El beso que me diste,A TV reporter from Puerto Rico loses her son after her ex-husband Armando kidnaps him and takes him to the States. Angela must team up with a lawyer to find and rescue the child.,0.948,/yODHFZDMCnN4RluWFtkragXXBu3.jpg,,"Thriller, Drama, Romance",Vanguard Cinema,Puerto Rico,Spanish,woman director
1497120,Medlock,0.0,0,Released,2024-12-06,0,4,False,,0,https://www.youtube.com/watch?v=YynbuiLQk0k,,en,Medlock,"An Experimental Film about Manchester's ""Great Flood"".  In July 1872, Manchester's River Medlock overflowed its banks due to heavy and continuous rains, resulting in the ""Great Flood."" The flood severely damaged areas around the River Medlock, with parts of Ancoats and Hulme being particularly affected.",0.0071,,"An Experimental Film about Manchester's ""Great Flood"".",History,So Fine Productions,United Kingdom,English,"performative, experimental, experimental cinema, experimental film"
1151724,VHS Violence: After Death,0.0,0,Planned,,0,0,False,,0,,,en,VHS Violence: After Death,,0.654,/8ox409SHVkvOj5n8DQKfSwivtpH.jpg,VHS lives...you won't,,,,,
764747,Queen of the night,9.0,1,Released,2020-10-31,0,0,False,,0,,,es,Queen of the night,,0.6,/eEkkYQZXlxEoTcyQvtixf6HD748.jpg,,"Horror, Drama",,,,
319874,Modern Marvels: Aquariums: Windows on a Watery World,0.0,0,Released,1997-01-01,0,0,False,,0,,,en,Modern Marvels: Aquariums: Windows on a Watery World,"This installment of the History Channel's ""Modern Marvels"" series dives into the history of the modern aquarium to reveal a wondrous world many people seldom see, providing an underwater experience that's ""worth the wet."" When the first public aquariums opened in the middle of the 19th century, they piqued the world's curiosity about ocean life; today's technological innovations in water filtration and window materials enhance the experience.",0.6,/xQr8vpPZuYJNvF282T6VEISQcaW.jpg,,,,,,
1268796,광천동 김환경,0.0,0,Post Production,,0,0,False,,0,,,ko,광천동 김환경,,0.0,,,,,,Korean,
888477,The People of Värmland,0.0,0,Released,1932-10-10,0,92,False,,0,,tt0023664,sv,Värmlänningarna,"Erik, who comes from a wealthy family, has to marry a stuck-up girl, but the one he really loves is the poor Anna.",0.6,/2qbapec5rKhZ7Uhpxf9vjx3l8nr.jpg,,"Drama, Romance",Film AB Minerva,Sweden,Swedish,
374708,Sublime - Everything Under the Sun,0.0,0,Released,2006-11-14,0,62,False,,0,,,en,Sublime - Everything Under the Sun,Compilation video from the Sublime box set.,0.6,,,Music,,,English,
601697,Whore of the Worlds,0.0,0,Released,1985-08-16,0,80,True,,0,,tt0185010,en,Whore of the Worlds,"Just when she’s smugly certain the entire population of the planet has accepted her moratorium on sex – evil ruler Clitemnestra, discovers the decampment of Zork and Zindy for worldly pleasures. In her private chambers, Clitemnestra watches their amorous antics through the telly and finds her gorge rising as well as long buried desires. After taking matters quickly in hand, dispatches her chief aide-de-camp to trap and zap the fallen angels. Meanwhile, Zork and Zinky, unaware they are being watched have found Hollywood, California a fine state of affairs and, anxious to make up for lost years of enforced celibacy, are having a ball with a playful group of consenting adults.",1.214,/j0A5ErcI0ZQlGJzqxhnAkA0g42m.jpg,,,,,English,
1413971,Just this world,0.0,0,Released,2023-07-01,0,11,False,,0,,,en,Samo ovaj svet,A lonely wanderer starts following his mechanic after a crash.,0.6,/vl5KOMuvrFUhY0cgtp0BX4pTRjO.jpg,A lonely wanderer starts following his mechanic after a crash.,,,,Serbian,
1329188,"Вы чье, старичье?",0.0,0,Released,,0,0,False,,0,,,ru,"Вы чье, старичье?",,0.0,,,,,,,
